,city,city_lat,city_lon,city_temp,city_hum,city_cloud,city_wind,city_country,city_date
0,changji,44.02,87.32,42.8,41,0,2.24,CN,1604924806
1,ponta do sol,32.67,-17.1,69.8,60,40,10.29,PT,1604924806
2,provideniya,64.38,-173.3,32.18,96,100,11.39,RU,1604924807
3,fortuna,40.6,-124.16,32.0,76,1,8.05,US,1604924590
4,alyangula,-13.85,136.42,82.4,78,31,4.7,AU,1604924807
5,carnarvon,-24.87,113.63,66.2,93,90,26.4,AU,1604924808
6,port alfred,-33.59,26.89,62.2,75,100,20.11,ZA,1604924808
7,busselton,-33.65,115.33,54.0,69,43,17.09,AU,1604924808
8,korla,41.76,86.15,44.98,47,41,4.0,CN,1604924809
9,nyurba,63.28,118.33,8.28,94,100,7.87,RU,1604924809
10,rio gallegos,-51.62,-69.22,42.8,75,90,8.05,AR,1604924584
11,watsa,3.04,29.54,75.94,89,62,4.61,CD,1604924810
12,amantea,39.13,16.07,70.0,68,16,10.29,IT,1604924810
13,plettenberg bay,-34.05,23.37,62.56,50,64,12.8,ZA,1604924810
14,butaritari,3.07,172.79,81.48,71,0,11.34,KI,1604924811
15,aplahoue,6.93,1.68,92.89,44,61,3.24,BJ,1604924811
16,jackson,42.42,-122.83,26.01,85,1,5.82,US,1604924722
17,sitka,57.05,-135.33,44.6,93,90,3.36,US,1604924812
18,coffs harbour,-30.3,153.13,60.8,82,75,5.82,AU,1604924812
19,parintins,-2.63,-56.74,84.94,68,98,1.63,BR,1604924813
20,kapaa,22.08,-159.32,75.2,94,90,25.28,US,1604924813
21,karratha,-20.74,116.85,74.55,64,0,18.21,AU,1604924814
22,vila velha,-20.33,-40.29,82.4,69,75,12.75,BR,1604924814
23,tuktoyaktuk,69.45,-133.04,-2.07,91,90,13.58,CA,1604924814
24,saldanha,-33.01,17.94,64.4,39,0,11.41,ZA,1604924815
25,ushuaia,-54.8,-68.3,42.8,45,0,4.7,AR,1604924815
26,quincy,42.25,-71.0,53.6,58,0,11.41,US,1604924754
27,rikitea,-23.12,-134.97,72.97,77,45,15.73,PF,1604924816
28,charlestown,-32.95,151.67,60.01,75,0,5.53,AU,1604924816
29,saint anthony,45.02,-93.22,64.99,77,90,10.29,US,1604924817
30,georgetown,5.41,100.34,82.4,78,40,3.36,MY,1604924519
31,hithadhoo,-0.6,73.08,82.58,78,100,13.73,MV,1604924817
32,ergani,38.27,39.76,69.8,48,40,2.24,TR,1604924818
33,qaanaaq,77.48,-69.36,-7.64,72,0,6.55,GL,1604924818
34,aklavik,68.22,-135.01,5.0,77,100,17.22,CA,1604924819
35,faya,18.39,42.45,77.0,33,40,8.05,SA,1604924819
36,sorland,67.67,12.69,39.2,64,75,12.75,NO,1604924819
37,cape town,-33.93,18.42,66.0,39,20,13.87,ZA,1604924779
38,bonavista,48.65,-53.11,33.01,86,92,6.93,CA,1604924774
39,ayr,55.46,-4.63,55.4,87,20,3.36,GB,1604924820
40,kattivakkam,13.22,80.32,82.4,65,40,14.99,IN,1604924820
41,requena,39.49,-1.1,64.99,60,62,3.0,ES,1604924821
42,vila franca do campo,37.72,-25.43,66.2,55,20,12.75,PT,1604924821
43,porbandar,21.64,69.61,84.6,40,0,11.83,IN,1604924821
44,quatre cocos,-20.21,57.76,78.8,65,75,13.87,MU,1604924822
45,basco,20.45,121.97,77.99,85,100,33.67,PH,1604924822
46,hilo,19.73,-155.09,69.8,60,1,6.93,US,1604924751
47,thompson,55.74,-97.86,10.4,92,90,13.87,CA,1604924823
48,barrow,71.29,-156.79,14.0,78,90,18.34,US,1604924823
49,isla mujeres,21.23,-86.73,73.4,100,75,6.93,MX,1604924823
50,katsuura,35.13,140.3,55.99,47,40,11.41,JP,1604924824
51,kavieng,-2.57,150.8,82.87,72,36,4.09,PG,1604924824
52,vaini,-21.2,-175.2,69.8,94,20,3.36,TO,1604924825
53,wanning,18.8,110.4,72.28,73,100,17.96,CN,1604924825
54,manggar,-2.88,108.27,81.75,74,85,2.86,ID,1604924825
55,pafos,34.77,32.42,77.0,53,20,11.41,CY,1604924722
56,mataura,-46.19,168.86,48.0,88,19,3.0,NZ,1604924826
57,aketi,2.74,23.78,91.13,46,76,5.79,CD,1604924826
58,hutchinson,38.06,-97.93,63.0,82,90,23.04,US,1604924601
59,faanui,-16.48,-151.75,77.88,82,98,16.73,PF,1604924827
60,bubaque,11.28,-15.83,82.9,77,11,8.37,GW,1604924827
61,whitianga,-36.83,175.7,55.0,92,48,4.0,NZ,1604924828
62,lagoa,39.05,-27.98,62.94,73,59,16.98,PT,1604924828
63,tonj,7.27,28.68,84.02,48,82,1.36,SS,1604924828
64,necochea,-38.55,-58.74,63.63,69,95,9.1,AR,1604924829
65,marsa matruh,31.35,27.25,68.0,72,75,9.17,EG,1604924829
66,atuona,-9.8,-139.03,77.14,71,25,10.04,PF,1604924830
67,marzuq,14.4,46.47,85.06,14,0,11.03,YE,1604924830
68,punta arenas,-53.15,-70.92,39.2,86,90,14.99,CL,1604924830
69,tiksi,71.69,128.87,-8.73,85,4,5.1,RU,1604924831
70,iqaluit,63.75,-68.51,14.0,78,90,16.11,CA,1604924831
71,khandyga,62.67,135.6,-17.28,87,0,2.55,RU,1604924831
72,talcahuano,-36.72,-73.12,53.6,87,20,8.05,CL,1604924832
73,bluff,-46.6,168.33,48.0,88,0,3.0,NZ,1604924832
74,mahebourg,-20.41,57.7,78.8,65,75,13.87,MU,1604924833
75,ribeira grande,38.52,-28.7,66.2,72,75,21.92,PT,1604924833
76,chuy,-33.7,-53.46,67.05,66,98,9.75,UY,1604924833
77,omsukchan,62.53,155.8,-5.58,87,100,4.83,RU,1604924834
78,jamestown,42.1,-79.24,50.0,66,1,5.82,US,1604924793
79,chokurdakh,70.63,147.92,-13.9,90,99,2.95,RU,1604924834
80,san jose,37.34,-121.89,42.01,86,1,3.36,US,1604924756
81,kungurtug,50.6,97.52,27.28,89,21,3.6,RU,1604924835
82,punuare,14.73,-85.97,68.0,100,75,2.51,HN,1604924836
83,mar del plata,-38.0,-57.56,64.4,82,90,8.05,AR,1604924677
84,geraldton,-28.77,114.6,62.6,48,75,23.04,AU,1604924836
85,san quintin,30.48,-115.95,58.41,64,10,14.5,MX,1604924837
86,jalu,29.03,21.55,74.64,37,0,11.56,LY,1604924837
87,roma,43.21,-75.46,37.4,86,1,3.36,US,1604924735
88,preeceville,51.95,-102.67,9.86,94,98,11.3,CA,1604924838
89,parana,-31.73,-60.52,62.65,93,100,9.28,AR,1604924838
90,taoudenni,22.68,-3.98,93.11,11,47,5.61,ML,1604924838
91,turukhansk,65.82,87.98,25.41,98,100,20.0,RU,1604924839
92,henderson,36.04,-114.98,42.01,64,75,3.36,US,1604924560
93,alofi,-19.06,-169.92,73.4,100,75,8.05,NU,1604924840
94,puerto ayora,-0.74,-90.35,68.0,90,93,7.0,EC,1604924840
95,new norfolk,-42.78,147.06,55.0,49,39,1.1,AU,1604924840
96,hermanus,-34.42,19.23,64.0,51,39,7.0,ZA,1604924841
97,novyy urengoy,66.08,76.63,10.81,96,97,7.56,RU,1604924841
98,aykhal,66.0,111.5,6.8,92,90,8.95,RU,1604924841
99,yellowknife,62.46,-114.35,28.4,86,75,12.75,CA,1604924594
100,la ligua,-32.45,-71.23,53.6,93,90,4.7,CL,1604924842
101,torbay,47.67,-52.73,35.01,74,90,10.29,CA,1604924842
102,auki,-8.77,160.7,79.09,81,88,2.06,SB,1604924843
103,hasaki,35.73,140.83,51.8,71,75,5.82,JP,1604924843
104,pochutla,15.74,-96.47,75.0,84,0,3.18,MX,1604924843
105,djibo,14.1,-1.63,93.16,10,29,12.62,BF,1604924844
106,bodden town,19.28,-81.25,80.6,88,75,14.99,KY,1604924844
107,avarua,-21.21,-159.78,71.6,94,99,10.29,CK,1604924844
108,yulara,-25.24,130.99,87.8,20,80,4.7,AU,1604924845
109,donskoye,45.46,41.97,53.51,82,8,8.95,RU,1604924845
110,dikson,73.51,80.55,3.65,94,100,10.31,RU,1604924845
111,severo-kurilsk,50.68,156.12,37.47,90,100,18.63,RU,1604924846
112,airai,-8.93,125.41,63.57,100,100,2.17,TL,1604924846
113,klaksvik,62.23,-6.59,50.0,100,100,9.17,FO,1604924847
114,waddan,29.16,16.14,71.53,39,6,11.03,LY,1604924847
115,khatanga,71.97,102.5,16.74,96,100,19.42,RU,1604924847
116,khorramshahr,30.44,48.17,89.6,49,40,4.7,IR,1604924848
